"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.09271247269966353,23242.622269134787054
"AGO",2001,101220.62152450018119128,37479550.6147631289232305
"AIA",2001,3.87846070809678965,649.56108480249433
"ALA",2001,396.934825671746587848,74296.5539245808591132
"ALB",2001,3729.021031484862357534,1365789.7400369757096838
"AND",2001,1.654212947706163386,566.646818378040983
"ARG",2001,147805.950355626996122735,32625004.46426972244793825
"ARM",2001,131.840612264474793400,39949.7341863260231989
"ATG",2001,24.07418943832681752,7212.162248074207880
"AUS",2001,218816.302071088624181933,28222182.93455683955559506
"AUT",2001,6926.269007849011953736,2789699.044772193442480
"AZE",2001,553.299356121382311545,156502.2262488761726169
"BDI",2001,1417.24695708633765950,486973.413168067564457
"BEL",2001,971.488195276284704110,420174.15252846373777862
"BEN",2001,3749.33110518269371135,1119344.320003105432636
"BES",2001,3.03185725290093348,277.490677792210525
"BFA",2001,59.47710511239312326,252746.1370513477077735
"BGD",2001,4586.99720271471196151,2293885.11388581794749476
"BGR",2001,8202.319111659731170157,2099766.3829646847562367
"BHS",2001,432.99941970350677991,90132.63408200177924684
"BIH",2001,1496.107104549773981144,496454.3421269561525938
"BLR",2001,18358.964278885901381128,4985186.6479393156115383
"BLZ",2001,8211.62949254659754263,3626172.8172424385307657
"BMU",2001,0.1958197936338976,62.84709498444276
"BOL",2001,140321.26053098015331833,63470048.77337102807633349
"BRA",2001,2746361.55670610423752042,1194228307.44033938270072156
"BRB",2001,12.36746156416883747,3432.5349790266935685
"BRN",2001,1244.45382286781184886,757789.61494783015890738
"BTN",2001,297.65963149439673584,157126.0210906675999774
"BWA",2001,130.98388147723630905,24757.6388144233047546
"CAF",2001,31282.43685307151749146,14207620.389622176887358
"CAN",2001,1358154.799492037208727531,419196844.91407335150854271
"CHE",2001,1165.213247325959132671,540278.2545064352050192
"CHL",2001,72711.302806947166040239,21209276.2767110682473840
"CHN",2001,230289.115278809438192341,87779006.32735795203182847
"CIV",2001,122711.45023837956624747,46812750.504579046935162
"CMR",2001,39203.71718120804815626,19447536.812638713543069
"COD",2001,455516.73897045685156996,254244885.5600599955629654
"COG",2001,27030.69621787330509781,14019383.1503066707608935
"COL",2001,230054.83567237288978299,112949016.96493142200576414
"COM",2001,36.97369320812446149,17571.613294515432722
"CPV",2001,7.1364507943294272,0.0
"CRI",2001,15461.87944946766648621,7007147.6619053970237066
"CUB",2001,18942.90877802538884307,5483739.5828729679571169
"CUW",2001,0.90278852551215283,200.821721038739745
"CYM",2001,20.68161219993164144,4935.9125478871698366
"CYP",2001,78.62890207442059146,13156.4652047636009862
"CZE",2001,3460.142585505529373419,1315253.137623118799541
"DEU",2001,15286.380567888256397114,6146136.99583576781916964
"DMA",2001,22.79275551081272004,13258.790938555648838
"DNK",2001,4329.295853187873432142,1038398.21171411866082445
"DOM",2001,11246.81006554313480157,4220410.807867161516433
"DZA",2001,3468.760252169605362478,821888.07294254630066986
"ECU",2001,45002.46870978927011274,25016527.7104127066215388
"EGY",2001,147.76494268109268415,44798.122547024042262
"ERI",2001,2.52952433260253888,990.51615643238662
"ESP",2001,32811.053519209310047921,9526959.22734887324987782
"EST",2001,16872.434505272682247710,3712196.1946794471487413
"ETH",2001,11947.24724356117074609,5314032.74204222201797742
"FIN",2001,151003.260500030195088591,28037721.9229831570735131
"FJI",2001,1097.76405439653025653,537214.590643403759423
"FRA",2001,34420.963394336193251129,12639867.8045574148676097
"GAB",2001,15082.63772959298524279,8545503.784052664594802
"GBR",2001,23244.127250639833000993,8338867.3130941136999245
"GEO",2001,666.556366612170181432,242408.565763522326315
